,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
linguagem,html,css,javascript,python,batch,none,lua,jinja,shell,java,c,dockerfile,csharp,jupyter notebook,pascal,go,gaml
css,1.0,28.0,1.0,4.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0
javascript,76.0,167.0,18.0,0,0,8.0,0,0,1.0,0,0,0,0,0,0,0,0
bash,6.0,835.0,24.0,86.0,0,0,1.0,0,64.0,0,0,17.0,0,0,0,0,2.0
html,8.0,36.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
json,5.0,14.0,13.0,0,1.0,1.0,0,0,0,0,0,2.0,0,0,2.0,0,0
shell,1.0,13.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
yaml,1.0,9.0,0,4.0,0,0,0,0,0,0,0,21.0,0,0,0,0,0
npm,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql,0,9.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
php,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arduino,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
xml,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dotenv,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
markdown,0,18.0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
csharp,0,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
vbnet,0,15.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,0,13.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
txt,0,1.0,0,1.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0
lua,0,8.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
toml,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swift,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruby,0,1.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
diff,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csv,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makefile,0,0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0
liquid,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,0,0,0,48.0,5.0,0,0,0,0,0,0,26.0,0,0,0,0,0
c,0,0,0,2.0,0,0,0,0,0,0,6.0,0,0,0,0,0,0
go,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
zshell,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0
ini,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0
c++,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
jinja,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
delphi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0
hcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0
