,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
linguagem,html,css,javascript,python,batch,none,lua,jinja,shell,java,c,dockerfile,csharp,jupyter notebook,pascal,go,gaml
css,1.010,2.181,1.282,2.614,0,0,0,0,0,0,0,2.632,0,0,0,0,0
javascript,76.768,13.006,23.077,0,0,50.000,0,0,1.493,0,0,0,0,0,0,0,0
bash,6.061,65.031,30.769,56.209,0,0,20.000,0,95.522,0,0,22.368,0,0,0,0,100.000
html,8.081,2.804,0,0,0,12.500,0,0,0,0,0,0,0,0,0,0,0
json,5.051,1.090,16.667,0,14.286,6.250,0,0,0,0,0,2.632,0,0,8.000,0,0
shell,1.010,1.012,0,1.961,0,0,0,0,0,0,0,0,0,0,0,0,0
yaml,1.010,0.701,0,2.614,0,0,0,0,0,0,0,27.632,0,0,0,0,0
npm,1.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql,0,0.701,0,0,0,0,0,0,0,0,0,1.316,0,0,0,0,0
php,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,0,7.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arduino,0,0.078,0,0,0,0,0,0,1.493,0,0,0,0,0,0,0,0
xml,0,0.234,1.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dotenv,0,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
markdown,0,1.402,1.282,0,0,18.750,0,0,0,0,0,0,0,0,0,0,0
csharp,0,0.234,0,1.307,0,0,0,0,0,0,0,0,0,0,0,0,0
vbnet,0,1.168,1.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,0,1.012,0,0,14.286,6.250,0,0,0,0,0,0,0,0,0,0,0
txt,0,0.078,0,0.654,0,0,0,0,0,0,0,5.263,0,0,0,0,0
lua,0,0.623,1.282,0,0,0,0,0,0,0,0,1.316,0,0,0,0,0
toml,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swift,0,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruby,0,0.078,0,0,0,0,0,100.000,0,0,0,0,0,0,0,0,0
diff,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,0,0,5.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csv,0,0,2.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makefile,0,0,1.282,0,0,6.250,0,0,0,0,12.500,0,0,0,0,0,0
liquid,0,0,14.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,0,0,0,31.373,71.429,0,0,0,0,0,0,34.211,0,0,0,0,0
c,0,0,0,1.307,0,0,0,0,0,0,75.000,0,0,0,0,0,0
go,0,0,0,1.961,0,0,0,0,0,0,0,0,0,0,0,0,0
zshell,0,0,0,0,0,0,80.000,0,0,0,0,0,0,0,0,0,0
ini,0,0,0,0,0,0,0,0,1.493,0,0,1.316,0,0,0,0,0
c++,0,0,0,0,0,0,0,0,0,0,12.500,0,0,0,0,0,0
jinja,0,0,0,0,0,0,0,0,0,0,0,1.316,0,0,0,0,0
delphi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.000,0,0
hcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0
