Language,Count,Repos,UniqueRepos,UniqueReposCount,Chat,UniqueChat,UniqueChatCount,SnippetLang,SnippetLangCount,SnippetLangPercentage
jupyter notebook,2,"['xihajun/Projects', 'Data4DM/BayesSD']","['xihajun/Projects', 'Data4DM/BayesSD']",2,"['https://chat.openai.com/share/f868e43e-373e-4fad-a018-902da2687184', 'https://chat.openai.com/share/336d4f49-40a4-47bf-9683-39d6d462556b', 'https://chat.openai.com/share/a67aef02-7043-482e-99f7-286064507cc4']","['https://chat.openai.com/share/336d4f49-40a4-47bf-9683-39d6d462556b', 'https://chat.openai.com/share/f868e43e-373e-4fad-a018-902da2687184', 'https://chat.openai.com/share/a67aef02-7043-482e-99f7-286064507cc4']",3,{'python': 2},2,{'python': '100.000'}
typescript,10,"['vueuse/vueuse', 'prgrms-fe-devcourse/FEDC4_HONKOK_JunilHwang', 'danny-avila/LibreChat', 'Gordoxmon/Jemis', 'epicweb-dev/epic-stack', 'garronej/tss-react', 'privatenumber/pkgroll', 'ubiquity/ubiquibot', 'kajirikajiri/jamstack-tech-blog', 'openai/openai-node']","['epicweb-dev/epic-stack', 'openai/openai-node', 'Gordoxmon/Jemis', 'garronej/tss-react', 'vueuse/vueuse', 'ubiquity/ubiquibot', 'danny-avila/LibreChat', 'kajirikajiri/jamstack-tech-blog', 'prgrms-fe-devcourse/FEDC4_HONKOK_JunilHwang', 'privatenumber/pkgroll']",10,"['https://chat.openai.com/share/b781d99c-26d2-4cc4-a8dd-f0d7ed88e555', 'https://chat.openai.com/share/6be46ac0-361d-4151-ad16-c0a36fbaac1d', 'https://chat.openai.com/share/5d8e886a-29d6-45dc-8098-23a3621ad8dd', 'https://chat.openai.com/share/80a4496e-586a-4421-9963-6c758220530a', 'https://chat.openai.com/share/3c8b786a-d5fd-4c40-a37e-fad65eb7437c', 'https://chat.openai.com/share/17320865-4fd2-4136-af5a-f7bff1d43fcc', 'https://chat.openai.com/share/a1bbd00d-c9d7-4846-a9af-12c6a475cd20', 'https://chat.openai.com/share/3006a37a-2045-4591-b1e9-bb5c7fd7f2f6', 'https://chat.openai.com/share/ad4981d9-854d-444b-b231-b2cf86dbc57c', 'https://chat.openai.com/share/c8094fa1-a703-4389-9929-dd02055abae7', 'https://chat.openai.com/share/550b906c-9af8-4c46-8717-65e81cdfa767', 'https://chat.openai.com/share/b175130a-0d77-465e-8187-59b92590df8b']","['https://chat.openai.com/share/a1bbd00d-c9d7-4846-a9af-12c6a475cd20', 'https://chat.openai.com/share/3c8b786a-d5fd-4c40-a37e-fad65eb7437c', 'https://chat.openai.com/share/5d8e886a-29d6-45dc-8098-23a3621ad8dd', 'https://chat.openai.com/share/6be46ac0-361d-4151-ad16-c0a36fbaac1d', 'https://chat.openai.com/share/ad4981d9-854d-444b-b231-b2cf86dbc57c', 'https://chat.openai.com/share/3006a37a-2045-4591-b1e9-bb5c7fd7f2f6', 'https://chat.openai.com/share/80a4496e-586a-4421-9963-6c758220530a', 'https://chat.openai.com/share/b175130a-0d77-465e-8187-59b92590df8b', 'https://chat.openai.com/share/b781d99c-26d2-4cc4-a8dd-f0d7ed88e555', 'https://chat.openai.com/share/550b906c-9af8-4c46-8717-65e81cdfa767', 'https://chat.openai.com/share/17320865-4fd2-4136-af5a-f7bff1d43fcc', 'https://chat.openai.com/share/c8094fa1-a703-4389-9929-dd02055abae7']",12,"{'javascript': 14, 'shell': 1, 'prisma': 7, 'typescript': 4, 'bash': 3, 'none': 1}",30,"{'javascript': '46.667', 'shell': '3.333', 'prisma': '23.333', 'typescript': '13.333', 'bash': '10.000', 'none': '3.333'}"
none,9,"['huangyinhaow/blogGiscus', 'deep-foundation/Discussions', 'JushBJJ/Mr.-Ranedeer-AI-Tutor', 'Zrips/CMI', 'Cyfrin/foundry-full-course-f23', 'JushBJJ/Mr.-Ranedeer-AI-Tutor', 'json-schema-org/community', 'xv44586/giscus', 'UW-Upwelling-Project/Summer-2023']","['Zrips/CMI', 'huangyinhaow/blogGiscus', 'json-schema-org/community', 'UW-Upwelling-Project/Summer-2023', 'deep-foundation/Discussions', 'xv44586/giscus', 'Cyfrin/foundry-full-course-f23', 'JushBJJ/Mr.-Ranedeer-AI-Tutor']",8,"['https://chat.openai.com/share/9495ba64-83ce-41fa-810d-b3354a515b0c', 'https://chat.openai.com/share/1e0f86ff-2094-441c-994a-d797076edb22', 'https://chat.openai.com/share/1e0f86ff-2094-441c-994a-d797076edb22', 'https://chat.openai.com/share/53b38605-68e5-4922-81fe-e4588fb28d8a', 'https://chat.openai.com/share/bb0d35d9-0239-492e-9ec2-49505aae202b', 'https://chat.openai.com/share/3de00522-8f3e-4415-b556-02424a83c858', 'https://chat.openai.com/share/9f042645-e3fe-4b3a-8fd3-cdb652e7325a', 'https://chat.openai.com/share/458f086c-af21-4c12-95ee-68a5dfaca46a', 'https://chat.openai.com/share/13d15bc9-c30e-4fb9-a960-6ecdf2e5ddbb', 'https://chat.openai.com/share/440260cc-c204-4588-bc97-d4b8d1d11326', 'https://chat.openai.com/share/30040380-3d76-4d0a-ab24-da48f2b9a1ad']","['https://chat.openai.com/share/bb0d35d9-0239-492e-9ec2-49505aae202b', 'https://chat.openai.com/share/458f086c-af21-4c12-95ee-68a5dfaca46a', 'https://chat.openai.com/share/9f042645-e3fe-4b3a-8fd3-cdb652e7325a', 'https://chat.openai.com/share/1e0f86ff-2094-441c-994a-d797076edb22', 'https://chat.openai.com/share/13d15bc9-c30e-4fb9-a960-6ecdf2e5ddbb', 'https://chat.openai.com/share/9495ba64-83ce-41fa-810d-b3354a515b0c', 'https://chat.openai.com/share/53b38605-68e5-4922-81fe-e4588fb28d8a', 'https://chat.openai.com/share/30040380-3d76-4d0a-ab24-da48f2b9a1ad', 'https://chat.openai.com/share/440260cc-c204-4588-bc97-d4b8d1d11326', 'https://chat.openai.com/share/3de00522-8f3e-4415-b556-02424a83c858']",10,"{'json': 9, 'turtle': 2}",11,"{'json': '81.818', 'turtle': '18.182'}"
go,1,['git-lfs/git-lfs'],['git-lfs/git-lfs'],1,['https://chat.openai.com/share/793752b2-4080-4307-8c40-da6482c52ec9'],['https://chat.openai.com/share/793752b2-4080-4307-8c40-da6482c52ec9'],1,{'bash': 8},8,{'bash': '100.000'}
ruby,2,"['community/community', 'community/community']",['community/community'],1,"['https://chat.openai.com/share/0c4998fd-b497-485e-a02c-9f3a1502641d', 'https://chat.openai.com/share/bae6b22c-31f1-435f-aac0-05812fbe7c73']","['https://chat.openai.com/share/bae6b22c-31f1-435f-aac0-05812fbe7c73', 'https://chat.openai.com/share/0c4998fd-b497-485e-a02c-9f3a1502641d']",2,"{'dockerfile': 1, 'bash': 1, 'vimscript': 1}",3,"{'dockerfile': '33.333', 'bash': '33.333', 'vimscript': '33.333'}"
lisp,1,['clojure-emacs/cider'],['clojure-emacs/cider'],1,['https://chat.openai.com/share/31edefae-845c-4ceb-abe9-64dcd95b473f'],['https://chat.openai.com/share/31edefae-845c-4ceb-abe9-64dcd95b473f'],1,{'clojure': 1},1,{'clojure': '100.000'}
php,4,"['spatie/browsershot', 'dave1010/pandora', 'inertiajs/inertia', 'DirectoryTree/LdapRecord-Laravel']","['spatie/browsershot', 'DirectoryTree/LdapRecord-Laravel', 'dave1010/pandora', 'inertiajs/inertia']",4,"['https://chat.openai.com/share/a1290070-0bfd-4539-82d1-30ab52ca7a34', 'https://chat.openai.com/share/77168701-1f4e-41f1-9867-dc747f5f5493', 'https://chat.openai.com/share/e9acf8e3-12a9-4c77-a106-a8610b332c11', 'https://chat.openai.com/share/9df39ba5-6779-4abf-9372-95535a97c4ff', 'https://chat.openai.com/share/00d4058e-bbd1-46eb-8543-95a436bf613f', 'https://chat.openai.com/share/a75734fb-d070-4ab2-8141-36350e1b27e9']","['https://chat.openai.com/share/a1290070-0bfd-4539-82d1-30ab52ca7a34', 'https://chat.openai.com/share/00d4058e-bbd1-46eb-8543-95a436bf613f', 'https://chat.openai.com/share/77168701-1f4e-41f1-9867-dc747f5f5493', 'https://chat.openai.com/share/e9acf8e3-12a9-4c77-a106-a8610b332c11', 'https://chat.openai.com/share/9df39ba5-6779-4abf-9372-95535a97c4ff', 'https://chat.openai.com/share/a75734fb-d070-4ab2-8141-36350e1b27e9']",6,"{'bash': 16, 'php': 6, 'javascript': 1}",23,"{'bash': '69.565', 'php': '26.087', 'javascript': '4.348'}"
python,13,"['sugi-01096/72', 'dtch1997/gpt-text-gym', 'jasonacox/Powerwall-Dashboard', 'sugi-01096/72', 'dtch1997/gpt-text-gym', 'HaroldMitts/VoAIce', 'dtch1997/gpt-text-gym', 'AntonOsika/gpt-engineer', 'nv-morpheus/Morpheus', 'jasonacox/Powerwall-Dashboard', 'operand/agency', 'uuid6/prototypes', 'netket/netket']","['nv-morpheus/Morpheus', 'HaroldMitts/VoAIce', 'jasonacox/Powerwall-Dashboard', 'AntonOsika/gpt-engineer', 'sugi-01096/72', 'netket/netket', 'uuid6/prototypes', 'dtch1997/gpt-text-gym', 'operand/agency']",9,"['https://chat.openai.com/share/2859d61a-3454-456f-b683-2c17d2163ded', 'https://chat.openai.com/share/1ee48447-8296-4a4f-9353-2d464d0f9188', 'https://chat.openai.com/share/1ee48447-8296-4a4f-9353-2d464d0f9188', 'https://chat.openai.com/share/51319da2-989a-46e8-802b-6f6b06bf7e89', 'https://chat.openai.com/share/e2c50f86-6c14-4f97-9573-a224888136d7', 'https://chat.openai.com/share/4cd4bb4a-56f9-4aee-86f8-f27caf0b1df3', 'https://chat.openai.com/share/7ad3843f-e932-431a-b100-3fd59a8803f6', 'https://chat.openai.com/share/262e8d7d-657b-4a30-9f91-37dc85a8ec77', 'https://chat.openai.com/share/259b2ba2-46e2-4d57-a509-ec07c2ce4e4a', 'https://chat.openai.com/share/17636bf2-f5f3-400e-905a-9e457e3462a9', 'https://chat.openai.com/share/425a2879-ccfd-48f4-a359-8c39e073a256', 'https://chat.openai.com/share/c70ac870-b8c9-4d58-b1c5-47d5f6e49332', 'https://chat.openai.com/share/f1736dfb-f0b6-4f27-95ef-a6fbfbc63840', 'https://chat.openai.com/share/97dbf284-129f-420b-b013-cd2b8f6a62f0', 'https://chat.openai.com/share/caaa9e43-860a-4638-b16b-33b031883a59']","['https://chat.openai.com/share/7ad3843f-e932-431a-b100-3fd59a8803f6', 'https://chat.openai.com/share/1ee48447-8296-4a4f-9353-2d464d0f9188', 'https://chat.openai.com/share/259b2ba2-46e2-4d57-a509-ec07c2ce4e4a', 'https://chat.openai.com/share/caaa9e43-860a-4638-b16b-33b031883a59', 'https://chat.openai.com/share/97dbf284-129f-420b-b013-cd2b8f6a62f0', 'https://chat.openai.com/share/4cd4bb4a-56f9-4aee-86f8-f27caf0b1df3', 'https://chat.openai.com/share/e2c50f86-6c14-4f97-9573-a224888136d7', 'https://chat.openai.com/share/262e8d7d-657b-4a30-9f91-37dc85a8ec77', 'https://chat.openai.com/share/2859d61a-3454-456f-b683-2c17d2163ded', 'https://chat.openai.com/share/f1736dfb-f0b6-4f27-95ef-a6fbfbc63840', 'https://chat.openai.com/share/425a2879-ccfd-48f4-a359-8c39e073a256', 'https://chat.openai.com/share/17636bf2-f5f3-400e-905a-9e457e3462a9', 'https://chat.openai.com/share/51319da2-989a-46e8-802b-6f6b06bf7e89', 'https://chat.openai.com/share/c70ac870-b8c9-4d58-b1c5-47d5f6e49332']",14,"{'javascript': 2, 'python': 21, 'json': 3, 'bash': 6, 'ruby': 1, 'perl': 1, 'shell': 1, 'markdown': 3, 'diff': 1, 'css': 2, 'lua': 1, 'go': 1, 'none': 1, 'kotlin': 1}",45,"{'javascript': '4.444', 'python': '46.667', 'json': '6.667', 'bash': '13.333', 'ruby': '2.222', 'perl': '2.222', 'shell': '2.222', 'markdown': '6.667', 'diff': '2.222', 'css': '4.444', 'lua': '2.222', 'go': '2.222', 'none': '2.222', 'kotlin': '2.222'}"
systemverilog,1,['amichai-bd/fpga_mafia'],['amichai-bd/fpga_mafia'],1,['https://chat.openai.com/share/a2f661b8-6ab3-44a4-9efa-4fdcce950778'],['https://chat.openai.com/share/a2f661b8-6ab3-44a4-9efa-4fdcce950778'],1,{},0,{}
javascript,5,"['Significant-Gravitas/AutoGPT', 'gioxx/MarvellousSuspender', 'gethomepage/homepage', 'quarto-dev/quarto-cli', 'SSWConsulting/SSW.Rules.Content']","['quarto-dev/quarto-cli', 'SSWConsulting/SSW.Rules.Content', 'Significant-Gravitas/AutoGPT', 'gioxx/MarvellousSuspender', 'gethomepage/homepage']",5,"['https://chat.openai.com/share/aec2922e-dbcc-4722-932d-9356984cdf26', 'https://chat.openai.com/share/02ce3405-8cf0-4f57-9970-9e3a8443d165', 'https://chat.openai.com/share/5f18ab61-fe51-4c23-abf8-20275fca6ed1', 'https://chat.openai.com/share/8be95b96-b7d0-4e89-b3fb-bf9cd7dd6c56', 'https://chat.openai.com/share/6af60e05-b164-4ada-ad9b-47c73cf6e74a']","['https://chat.openai.com/share/6af60e05-b164-4ada-ad9b-47c73cf6e74a', 'https://chat.openai.com/share/8be95b96-b7d0-4e89-b3fb-bf9cd7dd6c56', 'https://chat.openai.com/share/5f18ab61-fe51-4c23-abf8-20275fca6ed1', 'https://chat.openai.com/share/aec2922e-dbcc-4722-932d-9356984cdf26', 'https://chat.openai.com/share/02ce3405-8cf0-4f57-9970-9e3a8443d165']",5,"{'none': 2, 'bash': 3, 'javascript': 3, 'markdown': 2}",10,"{'none': '20.000', 'bash': '30.000', 'javascript': '30.000', 'markdown': '20.000'}"
