,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
linguagem,jupyter notebook,typescript,none,go,ruby,lisp,php,python,systemverilog,javascript,rust,c++,html,solidity,csharp,c,kotlin,java
python,2.0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0
javascript,0,14.0,0,0,0,0,1.0,2.0,0,3.0,0,0,2.0,0,0,0,0,0
shell,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
prisma,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bash,0,3.0,0,8.0,1.0,0,16.0,6.0,0,3.0,2.0,1.0,9.0,0,0,0,0,0
none,0,1.0,0,0,0,0,0,1.0,0,2.0,0,1.0,0,0,0,0,0,0
json,0,0,9.0,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,0
turtle,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dockerfile,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
vimscript,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
clojure,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
php,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0
ruby,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
perl,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
markdown,0,0,0,0,0,0,0,3.0,0,2.0,0,0,0,0,0,0,0,0
diff,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
css,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
lua,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
kotlin,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,7.0,0
sql,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
batch,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0
powershell,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0
csharp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0
