,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
linguagem,jupyter notebook,typescript,none,go,ruby,lisp,php,python,systemverilog,javascript,rust,c++,html,solidity,csharp,c,kotlin,java
python,100.000,0,0,0,0,0,0,46.667,0,0,0,0,0,0,0,0,0,0
javascript,0,46.667,0,0,0,0,4.348,4.444,0,30.000,0,0,7.407,0,0,0,0,0
shell,0,3.333,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0
prisma,0,23.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,0,13.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bash,0,10.000,0,100.000,33.333,0,69.565,13.333,0,30.000,100.000,33.333,33.333,0,0,0,0,0
none,0,3.333,0,0,0,0,0,2.222,0,20.000,0,33.333,0,0,0,0,0,0
json,0,0,81.818,0,0,0,0,6.667,0,0,0,0,3.704,0,0,0,0,0
turtle,0,0,18.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dockerfile,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0
vimscript,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0
clojure,0,0,0,0,0,100.000,0,0,0,0,0,0,0,0,0,0,0,0
php,0,0,0,0,0,0,26.087,0,0,0,0,0,0,0,0,0,0,0
ruby,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0
perl,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0
markdown,0,0,0,0,0,0,0,6.667,0,20.000,0,0,0,0,0,0,0,0
diff,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0
css,0,0,0,0,0,0,0,4.444,0,0,0,0,0,0,0,0,0,0
lua,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0
kotlin,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,35.000,0
sql,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0
batch,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0
powershell,0,0,0,0,0,0,0,0,0,0,0,0,22.222,0,0,0,0,0
csharp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0
xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.000,0
