,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
linguagem,assembly,c,css,asl,javascript,none,html,go,apl,batch,api blueprint,python,lua,jupyter notebook,typescript,dart,antlr,dockerfile,shell,csharp,java,codeql,r,c++,arc,digital command Language,astro,rust,sql,powershell,haskell,glsl,solidity,matlab,procfile,makefile,hcl,awk,shaderlab,kotlin,autohotkey,coffeescript,lisp,julia,apex,tex,php,qt script,swift,asymptote,clojure,mustache,nasl,coq,nix,nunjucks,applescript,ruby
bash,13.0,70.0,309.0,1.0,53.0,81.0,77.0,25.0,0,48.0,0,244.0,0,38.0,3.0,0,0,68.0,7.0,20.0,0,9.0,9.0,124.0,0,0,9.0,18.0,23.0,4.0,0,8.0,0,0,4.0,3.0,1.0,12.0,0,0,0,0,2.0,0,0,4.0,0,1.0,0,0,0,0,0,0,0,1.0,5.0,0
python,32.0,42.0,227.0,10.0,5.0,43.0,633.0,3.0,2.0,276.0,0,496.0,0,369.0,0,5.0,13.0,40.0,0,4.0,1.0,55.0,2.0,75.0,0,0,22.0,8.0,0,0,0,0,0,1.0,0,34.0,6.0,0,0,0,4.0,0,3.0,0,0,1.0,0,0,0,0,0,1.0,0,0,8.0,0,2.0,3.0
c++,117.0,149.0,1.0,0,0,4.0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
css,1.0,35.0,355.0,0,11.0,35.0,49.0,17.0,0,1.0,0,38.0,0,6.0,0,0,0,3.0,0,52.0,1.0,0,1.0,23.0,0,0,0,0,3.0,0,0,0,0,0,0,3.0,0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
makefile,1.0,7.0,15.0,0,3.0,7.0,0,3.0,0,0,0,3.0,0,8.0,0,0,0,2.0,0,0,0,0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mathematica,2.0,2.0,10.0,0,0,0,0,1.0,0,0,0,3.0,0,3.0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arduino,2.0,22.0,12.0,0,13.0,7.0,12.0,2.0,0,3.0,0,15.0,1.0,8.0,0,0,0,1.0,0,44.0,0,0,0,59.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
c,2.0,35.0,3.0,0,0,2.0,10.0,0,0,8.0,0,2.0,0,0,0,0,0,0,3.0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,2.0,1.0,4.0,0,1.0,4.0,22.0,3.0,0,2.0,0,3.0,0,4.0,0,0,0,3.0,0,739.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dslx,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,2.0,36.0,58.0,0,15.0,27.0,25.0,6.0,0,7.0,0,20.0,0,7.0,0,0,1.0,8.0,0,27.0,8.0,0,0,9.0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,3.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0
markdown,1.0,2.0,28.0,0,0,29.0,142.0,21.0,0,2.0,0,7.0,0,4.0,0,0,0,2.0,0,1.0,1.0,0,2.0,6.0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
sql,4.0,19.0,11.0,0,3.0,26.0,13.0,2.0,0,0,0,10.0,0,4.0,0,2.0,0,0,0,0,1.0,0,0,46.0,0,0,0,0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,1.0,0,0,0,0,0,0,0,0,0,0,0
yaml,2.0,14.0,30.0,0,1.0,17.0,5.0,3.0,0,0,0,2.0,0,9.0,2.0,0,0,16.0,0,4.0,0,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
perl,1.0,0,2.0,0,0,5.0,2.0,3.0,0,2.0,0,3.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,5.0,0,29.0,0,0,0,9.0,0,0,0,0,2.0,0,3.0,0,0,0,1.0,0,0,48.0,0,0,11.0,0,0,0,65.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php,1.0,0,80.0,0,2.0,16.0,0,0,0,1.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0
assembly,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lua,0,9.0,14.0,0,4.0,4.0,5.0,1.0,0,0,0,3.0,0,2.0,0,0,0,4.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0
shell,0,2.0,15.0,0,0,8.0,4.0,0,0,2.0,0,15.0,0,0,0,0,0,5.0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verilog,0,27.0,0,0,0,0,0,0,0,0,0,0,0,261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dart,0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin,0,9.0,0,0,0,0,25.0,2.0,0,0,0,1.0,0,0,0,0,0,2.0,0,35.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haskell,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
less,0,2.0,1.0,0,0,6.0,1.0,1.0,0,0,0,0,0,2.0,0,0,0,1.0,0,0,1.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,0,12.0,84.0,0,52.0,17.0,59.0,0,0,31.0,0,0,0,0,23.0,0,0,3.0,0,0,8.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,0,14.0,48.0,0,73.0,3.0,62.0,0,0,0,0,0,0,0,0,0,0,1.0,0,27.0,20.0,0,0,37.0,0,0,0,14.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0
objective,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmake,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
json,0,6.0,21.0,0,37.0,17.0,19.0,0,0,0,0,5.0,0,8.0,3.0,0,0,8.0,2.0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,0,1.0,24.0,0,0,2.0,0,279.0,0,0,0,1.0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript,0,2.0,1507.0,0,131.0,57.0,157.0,5.0,0,10.0,0,94.0,0,0,17.0,0,0,10.0,0,0,0,0,0,13.0,6.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,13.0,0,0,2.0,0,0,0,0,0,0,0,1.0,0,0
swift,0,24.0,271.0,0,136.0,8.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0
toml,0,10.0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,2.0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txt,0,4.0,1.0,0,0,1.0,31.0,1.0,0,0,0,1.0,0,1.0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
