,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
linguagem,assembly,c,css,asl,javascript,none,html,go,apl,batch,api blueprint,python,lua,jupyter notebook,typescript,dart,antlr,dockerfile,shell,csharp,java,codeql,r,c++,arc,digital command Language,astro,rust,sql,powershell,haskell,glsl,solidity,matlab,procfile,makefile,hcl,awk,shaderlab,kotlin,autohotkey,coffeescript,lisp,julia,apex,tex,php,qt script,swift,asymptote,clojure,mustache,nasl,coq,nix,nunjucks,applescript,ruby
bash,4.377,10.086,7.692,9.091,8.775,14.261,4.843,5.133,0,10.596,0,23.735,0,5.121,6.122,0,0,28.692,58.333,1.625,0,5.389,8.491,15.461,0,0,19.149,15.254,19.328,9.091,0,100.000,0,0,100.000,5.882,12.500,100.000,0,0,0,0,7.692,0,0,10.526,0,5.556,0,0,0,0,0,0,0,25.000,71.429,0
python,10.774,6.052,5.651,90.909,0.828,7.570,39.811,0.616,100.000,60.927,0,48.249,0,49.730,0,33.333,56.522,16.878,0,0.325,0.990,32.934,1.887,9.352,0,0,46.809,6.780,0,0,0,0,0,5.263,0,66.667,75.000,0,0,0,14.286,0,11.538,0,0,2.632,0,0,0,0,0,100.000,0,0,100.000,0,28.571,6.667
c++,39.394,21.470,0.025,0,0,0.704,0,0,0,1.766,0,0,0,0,0,0,0,0,0,0,0,0,0,28.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
css,0.337,5.043,8.837,0,1.821,6.162,3.082,3.491,0,0.221,0,3.696,0,0.809,0,0,0,1.266,0,4.224,0.990,0,0.943,2.868,0,0,0,0,2.521,0,0,0,0,0,0,5.882,0,0,0,0,7.143,0,0,0,4.000,0,0,0,0,0,0,0,0,0,0,0,0,0
makefile,0.337,1.009,0.373,0,0.497,1.232,0,0.616,0,0,0,0.292,0,1.078,0,0,0,0.844,0,0,0,0,0,3.990,0,0,0,0,0,0,0,0,0,0,0,1.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mathematica,0.673,0.288,0.249,0,0,0,0,0.205,0,0,0,0.292,0,0.404,0,0,0,0,0,0.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arduino,0.673,3.170,0.299,0,2.152,1.232,0.755,0.411,0,0.662,0,1.459,100.000,1.078,0,0,0,0.422,0,3.574,0,0,0,7.357,0,0,0,0,2.521,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846,0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0
c,0.673,5.043,0.075,0,0,0.352,0.629,0,0,1.766,0,0.195,0,0,0,0,0,0,25.000,0,0,0,0,3.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,0.673,0.144,0.100,0,0.166,0.704,1.384,0.616,0,0.442,0,0.292,0,0.539,0,0,0,1.266,0,60.032,0,0,0,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.041,0,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dslx,30.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,0.673,5.187,1.444,0,2.483,4.754,1.572,1.232,0,1.545,0,1.946,0,0.943,0,0,4.348,3.376,0,2.193,7.921,0,0,1.122,0,0,0,0,0.840,0,0,0,0,0,0,0,12.500,0,0,0,10.714,0,3.846,0,0,0,0,0,0,0,0,0,0,0,0,50.000,0,0
markdown,0.337,0.288,0.697,0,0,5.106,8.931,4.312,0,0.442,0,0.681,0,0.539,0,0,0,0.844,0,0.081,0.990,0,1.887,0.748,0,0,0,0,7.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,0,0,0,0,0,0,0,0,0,0,0,0,2.222
sql,1.347,2.738,0.274,0,0.497,4.577,0.818,0.411,0,0,0,0.973,0,0.539,0,13.333,0,0,0,0,0.990,0,0,5.736,0,0,0,0,34.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.842,16.667,0,0,0,0,0,0,0,0,0,0,0
yaml,0.673,2.017,0.747,0,0.166,2.993,0.314,0.616,0,0,0,0.195,0,1.213,4.082,0,0,6.751,0,0.325,0,1.796,0,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222
perl,0.337,0,0.050,0,0,0.880,0.126,0.616,0,0.442,0,0.292,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,1.684,0,0.722,0,0,0,0.566,0,0,0,0,0.195,0,0.404,0,0,0,0.422,0,0,47.525,0,0,1.372,0,0,0,55.085,30.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php,0.337,0,1.992,0,0.331,2.817,0,0,0,0.221,0,0,0,0,0,0,0,0.844,0,0,0,0,0,3.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.333,0,0,0,0,0,0,0,0,0,0,0
