,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
linguagem,none,typescript,java,python,html,go,php,kotlin,csharp,swift,c,javascript,verilog,jupyter notebook,css,clojure,vue,rust,perl,shell,astro,c++,game maker language,ruby,zig,glsl,objective-c,powershell,makefile,tex,r,matlab,groovy,f#,sql,lisp,nim
none,2.913,1.639,10.448,3.522,0.952,0,1.099,0,0,0,1.786,3.365,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
css,2.913,0,0,0.919,6.667,0,1.099,0,0,0,0,2.404,0,0,23.077,0,8.333,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.971,0,0,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.455,0,0,0,0,0,0
sql,0.971,9.290,5.970,5.360,30.476,0,0,0,0,0,1.786,1.442,0,0,0,0,0,0,46.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0
javascript,24.272,24.044,2.985,9.801,15.238,13.043,9.890,0,0,0,12.500,32.212,0,9.524,15.385,50.000,4.167,0,0,0,100.000,0,0,5.882,0,0,0,0,0,0,9.091,0,0,0,0,0,0
perl,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bash,32.039,20.219,7.463,20.980,11.429,47.826,12.088,0,7.692,0,14.286,19.231,50.000,28.571,15.385,0,8.333,36.111,38.462,100.000,0,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0
less,0.971,0,0,0.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diff,0.971,0.546,0,0,0,0,0,0,0,0,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
html,0.971,0,5.970,1.838,15.238,0,1.099,0,0,0,0,1.923,0,0,23.077,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php,6.796,0,0,0,0,0,58.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradle,0.971,0,2.985,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,6.796,0,35.821,0.613,0,0,0,0,0,0,3.571,0,0,0,0,50.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0,0,0
json,4.854,2.732,0,0.459,1.905,0,1.099,0,0,0,0,0.481,0,0,0,0,0,0,0,0,0,3.571,0,0,0,100.000,0,0,0,0,45.455,0,0,0,0,0,0
yaml,4.854,0.546,4.478,1.991,0.952,0,0,0,0,0,0,2.885,0,0,0,0,0,0,0,0,0,0,0,35.294,0,0,0,0,100.000,0,0,0,0,0,0,0,0
markdown,0.971,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,0.971,0.546,0,0.306,0,0,0,0,76.923,0,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lua,1.942,0,2.985,0,0,0,0,0,0,0,10.714,1.442,0,0,0,0,0,2.778,0,0,0,0,0,0,50.000,0,0,0,0,0,0,0,0,0,0,0,0
go,1.942,0,0,0,0,21.739,0,0,0,0,0,0,0,0,0,0,66.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mathematica,0.971,0,0,0,0,0,0,0,0,0,0,0.481,0,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
svelte,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nginx,0,1.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txt,0,1.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,0,3.279,2.985,43.492,12.381,0,13.187,50.000,15.385,23.529,7.143,6.250,0,61.905,0,0,0,0,0,0,0,39.286,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0
typescript,0,14.208,0,0,1.905,0,0,0,0,0,0,12.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,7.104,0,0.306,0,0,0,0,0,0,28.571,0,0,0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c++,0,2.732,0,0,0,0,1.099,0,0,0,17.857,0.481,0,0,0,0,0,0,0,0,0,42.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruby,0,2.186,0,0,0,0,0,0,0,2.941,0,0.962,0,0,0,0,0,2.778,0,0,0,0,0,41.176,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,0,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swift,0,0.546,0,0,0,0,0,0,0,70.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graphql,0,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shell,0,0.546,0,1.072,0,0,0,0,0,2.941,0,0.481,0,0,0,0,0,2.778,0,0,0,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0
prisma,0,3.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arduino,0,0.546,4.478,0.919,0,0,0,0,0,0,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,50.000,0,0,0,0,0,0,0,0,0,0,0,0
vbnet,0,1.093,0,3.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makefile,0,1.093,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xml,0,0,4.478,0.306,0,0,0,0,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groovy,0,0,2.985,0,0,0,0,50.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
properties,0,0,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin,0,0,2.985,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toml,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,23.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tex,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0,0,0,0,0,0
typeqL,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haxe,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dockerfile,0,0,0,0.459,0,0,0,0,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0
jinja,0,0,0,1.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
