,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
linguagem,html,css,javascript,python,batch,none,lua,jinja,shell,java,c,dockerfile,csharp,jupyter notebook,pascal,go,gaml,typescript,vue,php,kotlin,dart,c++,solidity,lisp,rust,f#,mdx,powershell,swift,verilog,clojure,perl,astro,game maker language,ruby,zig,glsl,objective-c,makefile,tex,r,matlab,groovy,sql,nim,assembly,asl,apl,api blueprint,antlr,codeql,arc,digital command Language,haskell,procfile,hcl,awk,shaderlab,autohotkey,coffeescript,julia,apex,qt script,asymptote,mustache,nasl,coq,nix,nunjucks,applescript,systemverilog
css,3.178,7.264,1.801,2.356,0.217,5.429,0,0,0,1.230,4.611,1.597,4.167,0.784,0,3.142,0,0,6.452,0.826,1.429,0,2.451,0,0,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,5.769,0,0.855,0,0,2.459,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,7.143,0,0,4.000,0,0,0,0,0,0,0,0,0
javascript,13.808,31.539,23.835,7.621,2.174,12.857,0,0,2.586,0.820,1.186,3.195,0,0.261,0,1.479,0,31.208,12.903,8.264,0,0,10.049,0,0,0,11.111,0,0,0,0,33.333,0,11.538,0,1.538,0,0,0,0,0,0.855,0,0,0,0,0,0,0,0,0,0,35.294,0,0,0,0,0,0,3.571,0,1.961,26.000,11.111,0,0,0,0,0,25.000,0,0
bash,5.699,21.566,13.983,25.358,10.435,16.286,16.667,0,90.517,2.049,10.277,27.157,1.683,5.752,0,9.612,100.000,15.101,6.452,22.314,0,11.765,14.134,0,6.667,21.154,0,83.333,8.333,0,50.000,0,38.462,17.308,0,3.077,0,80.000,0,5.769,8.696,7.692,0,0,18.852,0,4.377,9.091,0,0,0,5.389,0,0,0,100.000,12.500,100.000,0,0,0,0,0,5.556,0,0,0,0,0,25.000,71.429,0
html,5.425,13.003,1.059,1.894,2.826,0.714,0,0,0,1.639,0,2.875,0.401,0,0,16.081,0,0.336,6.452,0.826,0,0,2.206,0,0,0,0,0,0,0,0,0,0,28.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.714,0,0,22.000,0,0,0,0,0,0,0,0,0
json,1.479,0.659,6.250,1.524,0.217,4.571,0,0,1.724,0.410,0.791,3.195,0.080,1.046,8.000,0,0,3.020,0,0.826,0,0,1.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.000,0,0,0,4.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shell,0.274,0.527,0.106,1.848,0.435,1.143,0,0,0,0,0.264,1.597,0,0,0,0,0,0.671,0,0,0,0,0.408,0,0,0.641,0,0,0,2.632,0,0,0,0,0,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yaml,0.384,0.734,0.742,3.326,0,3.429,0,0,0.862,1.230,1.845,11.821,0.321,1.176,0,0.555,0,1.007,0,0,20.000,35.294,0.899,0,0,0,0,0,0,0,0,0,0,0,0,10.769,0,0,0,1.923,0,0,0,0,0,0,0.673,0,0,0,0,1.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npm,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,1.479,1.336,2.542,2.125,1.739,4.429,0,0,0,6.967,4.875,2.556,2.163,0.915,0,1.109,0,1.342,0,0.826,0,0,1.879,0,3.333,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820,0,0.673,0,0,0,4.348,0,0,0,0,0,12.500,0,0,10.714,0,0,0,0,0,0,0,0,0,50.000,0,0
python,35.397,4.272,2.013,41.755,61.087,6.143,0,0,0,3.689,6.061,21.086,0.481,50.196,0,0.555,0,2.013,0,9.917,1.429,14.706,11.111,0,13.333,5.128,11.111,0,0,21.053,0,0,0,42.308,0,4.615,0,0,0,65.385,2.174,1.709,5.263,0,0,0,10.774,90.909,100.000,0,56.522,32.934,0,0,0,0,75.000,0,0,14.286,0,0,0,0,0,100.000,0,0,100.000,0,28.571,0
ini,0.055,0.075,0,0,0,0,0,0,0.862,0,0,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql,2.466,0.376,0.636,2.217,0,3.857,0,0,0,2.049,2.635,0.319,0,0.523,0,0.555,0,5.705,0,0.826,0,5.882,4.493,0,0,0,0,0,0,0,0,0,46.154,0,0,0,0,0,0,0,71.739,0,0,0,36.066,0,1.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0.164,0.358,0.636,0,4.130,1.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,3.342,1.581,8.792,0,6.739,2.429,0,0,0,3.279,1.581,0.958,0,0,0,0,0,22.148,9.677,0,0,0,1.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.462,0,0,0,0,0,0,0,0,0,0,0,0,17.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vbnet,1.589,0.339,0.953,1.570,0.217,0.429,0,0,0,0,0.659,0,0,0.392,0,0.555,0,0.671,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,0,0,0,0,0,0,0,0.820,0,0,0,0,0,0,0,0,0,50.000,0,0,0,0,0,0,0,2.000,0,0,0,0,0,0,0,0,0
markdown,7.781,0.866,0.318,0.693,0.435,4.714,0,0,0,0.410,0.264,0.639,0.080,0.523,0,3.882,0,0.336,0,0,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,1.538,0,0,0,0,0,1.709,0,0,7.377,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,0,0,0,0,0,0,0,0,0
c,0.548,0.056,0,0.277,1.739,0.286,0,0,2.586,0,7.642,0,0,0,0,0,0,4.362,0,0,0,0,2.533,0,0,1.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673,0,0,0,0,0,0,0,0,0,0,0,1.626,0,0,0,0,0,0,0,0,0,0,0,0,0
arduino,0.658,0.245,1.695,1.293,0.652,1.000,16.667,0,0.862,1.230,2.899,0.319,3.526,1.046,0,0.370,0,0.336,0,0,0,0,5.229,0,3.333,0,0,0,0,0,0,0,0,0,0,0,50.000,0,0,0,0,0,0,0,2.459,0,0.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,0,0,0,0,0,0
rust,0.493,0.546,0,0.139,0,0,0,0,0,19.672,0,0.319,0,0.392,0,0,0,0.336,0,0,0,0,1.389,0,0,52.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.508,0,1.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
txt,1.699,0.038,0,0.185,0,0.143,0,0,0,0,0.527,1.278,0,0.131,0,0.185,0,0.671,0,0,22.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http,0.219,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vue,1.041,0.019,0,0,0,0,0,0,0,0,0,0,0.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,1.205,0.132,0.212,0.323,0.435,0.714,0,0,0,0,0.132,0.958,60.176,0.523,0,0.555,0,0.336,0,0,0,0,0.245,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673,0,0,0,0,0,0,0,0,0,0,0,65.041,3.571,0,0,0,0,0,0,0,0,0,0,0,0
java,3.397,2.597,7.733,0.185,0,1.429,0,0,0,19.672,2.108,0.319,2.163,0,0,0,0,0,0,0,0,0,4.248,0,0,8.974,11.111,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,100.000,1.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.000,0,0,0,0,0,0,0,0,0
xml,1.260,0.075,0.636,0.600,2.391,2.000,0,0,0,25.820,0,0,0.721,0,0,0,0,0,0,0,18.571,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000,0,0,0,0,0,0,0,0,0
