Language,Count,Repos,UniqueRepos,UniqueReposCount,Chat,UniqueChat,UniqueChatCount,SnippetLang,SnippetLangCount,SnippetLangPercentage
javascript,9,"['validatorjs/validator.js', 'magnifiq/js-practice-vention', 'lightward/mechanic-tasks', 'DogeisCut/extensions', 'DogeisCut/extensions', 'TurboWarp/extensions', 'Stivaros/blog', 'transloadit/uppy', 'SSWConsulting/SSW.Rules.Content']","['Stivaros/blog', 'transloadit/uppy', 'SSWConsulting/SSW.Rules.Content', 'lightward/mechanic-tasks', 'TurboWarp/extensions', 'magnifiq/js-practice-vention', 'validatorjs/validator.js', 'DogeisCut/extensions']",8,"['https://chat.openai.com/share/89797c7b-fedf-491d-8725-927820b15d88', 'https://chat.openai.com/share/9cd8e06b-6f9b-474d-bedb-c6723e3a7b16', 'https://chat.openai.com/share/e42b5476-6ec0-4ac8-8738-263858150ec4', 'https://chat.openai.com/share/245724e7-0a3c-4001-9fef-fb72c4a4acc6', 'https://chat.openai.com/share/245724e7-0a3c-4001-9fef-fb72c4a4acc6', 'https://chat.openai.com/share/2d46a624-5dca-4e66-b159-4bd1d0a92a07', 'https://chat.openai.com/share/245724e7-0a3c-4001-9fef-fb72c4a4acc6', 'https://chat.openai.com/share/2cbabfc1-e69d-4e64-9639-9b65d50af23e', 'https://chat.openai.com/share/ac97acff-bfab-49c3-8997-e9d6a111bdc2', 'https://chat.openai.com/share/d13bc0c9-4feb-4f1a-b97f-ddb7c8738b70', 'https://chat.openai.com/share/2bd547da-d025-438b-96d0-b98455cb1687']","['https://chat.openai.com/share/245724e7-0a3c-4001-9fef-fb72c4a4acc6', 'https://chat.openai.com/share/2bd547da-d025-438b-96d0-b98455cb1687', 'https://chat.openai.com/share/2d46a624-5dca-4e66-b159-4bd1d0a92a07', 'https://chat.openai.com/share/e42b5476-6ec0-4ac8-8738-263858150ec4', 'https://chat.openai.com/share/89797c7b-fedf-491d-8725-927820b15d88', 'https://chat.openai.com/share/9cd8e06b-6f9b-474d-bedb-c6723e3a7b16', 'https://chat.openai.com/share/2cbabfc1-e69d-4e64-9639-9b65d50af23e', 'https://chat.openai.com/share/ac97acff-bfab-49c3-8997-e9d6a111bdc2', 'https://chat.openai.com/share/d13bc0c9-4feb-4f1a-b97f-ddb7c8738b70']",9,"{'javascript': 6, 'liquid': 11, 'vbnet': 1, 'json': 8, 'xml': 3, 'python': 1, 'arduino': 2, 'bash': 12}",44,"{'javascript': '13.636', 'liquid': '25.000', 'vbnet': '2.273', 'json': '18.182', 'xml': '6.818', 'python': '2.273', 'arduino': '4.545', 'bash': '27.273'}"
typescript,15,"['FlorianWoelki/obsidian-symbols-prettifier', 'polywrap/evo.ninja', 'justinjeong5/j-chat', 'QRTaxi/QRTaxi_Web', 'mlhmz/family-task-tracking', 'huozhi/bunchee', 'rancher-sandbox/rancher-desktop', 'GaloyMoney/galoy-mobile', 'QRTaxi/QRTaxi_Web', 'ECMaker/blog', 'jojazpeitia/skinguessr', 'GaloyMoney/galoy-mobile', 'sarcophagus-org/sarcophagus-v2-sdk', 'Feijai/Lunar', 'rhysmorgan134/node-CarPlay']","['justinjeong5/j-chat', 'jojazpeitia/skinguessr', 'QRTaxi/QRTaxi_Web', 'ECMaker/blog', 'polywrap/evo.ninja', 'FlorianWoelki/obsidian-symbols-prettifier', 'huozhi/bunchee', 'GaloyMoney/galoy-mobile', 'sarcophagus-org/sarcophagus-v2-sdk', 'mlhmz/family-task-tracking', 'rhysmorgan134/node-CarPlay', 'Feijai/Lunar', 'rancher-sandbox/rancher-desktop']",13,"['https://chat.openai.com/share/acece149-6d4b-457c-9ae9-7fa8a3ec35fc', 'https://chat.openai.com/share/f59d66c4-fe99-4ad3-83cf-cf4ffab427bd', 'https://chat.openai.com/share/0c657c43-1aa3-4035-9f0c-cc7259c873f9', 'https://chat.openai.com/share/e1f297bd-e6fb-491a-97f5-7754e2f3ca12', 'https://chat.openai.com/share/a70e7010-4a68-4713-a396-563512bf4039', 'https://chat.openai.com/share/41409ce2-fe94-4c74-b425-f0760f9d1ca3', 'https://chat.openai.com/share/31a174c3-33f3-45a1-afc0-f070fd5b3538', 'https://chat.openai.com/share/8a08b0c6-d5c4-476d-a086-a0053cd8c185', 'https://chat.openai.com/share/f615ed08-26c7-4b12-ad7f-c356e0af773b', 'https://chat.openai.com/share/e5d50333-2d70-4c70-b4ce-652cf5d407e9', 'https://chat.openai.com/share/47682fe3-4ca1-44c6-b6af-106170af3373', 'https://chat.openai.com/share/de7cc6c1-6346-4e55-9e1a-bcb2967e339e', 'https://chat.openai.com/share/5b6ebc30-3efe-48ec-91ed-df2e2b0f597d', 'https://chat.openai.com/share/7c39121a-a5b0-46b8-b623-a95d78d71ef1', 'https://chat.openai.com/share/f612708b-692b-487f-861b-7081f8bec5c5', 'https://chat.openai.com/share/599180fe-139b-4f23-9ca5-16cec245301a', 'https://chat.openai.com/share/bbaefbb3-9115-41c1-9cf9-0d4f3086dc53']","['https://chat.openai.com/share/acece149-6d4b-457c-9ae9-7fa8a3ec35fc', 'https://chat.openai.com/share/bbaefbb3-9115-41c1-9cf9-0d4f3086dc53', 'https://chat.openai.com/share/e1f297bd-e6fb-491a-97f5-7754e2f3ca12', 'https://chat.openai.com/share/f59d66c4-fe99-4ad3-83cf-cf4ffab427bd', 'https://chat.openai.com/share/31a174c3-33f3-45a1-afc0-f070fd5b3538', 'https://chat.openai.com/share/8a08b0c6-d5c4-476d-a086-a0053cd8c185', 'https://chat.openai.com/share/41409ce2-fe94-4c74-b425-f0760f9d1ca3', 'https://chat.openai.com/share/0c657c43-1aa3-4035-9f0c-cc7259c873f9', 'https://chat.openai.com/share/a70e7010-4a68-4713-a396-563512bf4039', 'https://chat.openai.com/share/599180fe-139b-4f23-9ca5-16cec245301a', 'https://chat.openai.com/share/7c39121a-a5b0-46b8-b623-a95d78d71ef1', 'https://chat.openai.com/share/47682fe3-4ca1-44c6-b6af-106170af3373', 'https://chat.openai.com/share/de7cc6c1-6346-4e55-9e1a-bcb2967e339e', 'https://chat.openai.com/share/e5d50333-2d70-4c70-b4ce-652cf5d407e9', 'https://chat.openai.com/share/f612708b-692b-487f-861b-7081f8bec5c5', 'https://chat.openai.com/share/f615ed08-26c7-4b12-ad7f-c356e0af773b', 'https://chat.openai.com/share/5b6ebc30-3efe-48ec-91ed-df2e2b0f597d']",17,"{'typescript': 13, 'javascript': 18, 'bash': 2, 'markdown': 1, 'html': 1, 'json': 1}",36,"{'typescript': '36.111', 'javascript': '50.000', 'bash': '5.556', 'markdown': '2.778', 'html': '2.778', 'json': '2.778'}"
go,9,"['asaskevich/govalidator', 'daeuniverse/dae-wing', 'poki/netlib', 'labdao/plex', 'labdao/plex', 'plantoncloud/kube-client-go-aws-credential-plugin', 'c4dt/dela', 'daeuniverse/dae', 'tsenart/vegeta']","['c4dt/dela', 'labdao/plex', 'poki/netlib', 'asaskevich/govalidator', 'daeuniverse/dae', 'daeuniverse/dae-wing', 'plantoncloud/kube-client-go-aws-credential-plugin', 'tsenart/vegeta']",8,"['https://chat.openai.com/share/33c6f549-4e9f-489f-8ea7-aa38fc697c2b', 'https://chat.openai.com/share/9fb7d601-2a86-4079-8cdc-3ecdf90cab48', 'https://chat.openai.com/share/7e23cfa9-7ae9-4d83-bf46-f4ee1f25465f', 'https://chat.openai.com/share/8bd33825-e8c6-447f-b86e-5827453f3448', 'https://chat.openai.com/share/2c4b0dba-429c-4c33-8e21-07f2ff837f54', 'https://chat.openai.com/share/11673f92-3b12-4ed8-b637-66acc4005a43', 'https://chat.openai.com/share/e24fcf2d-a14b-4198-83e8-2910e17c7cd9', 'https://chat.openai.com/share/9fb7d601-2a86-4079-8cdc-3ecdf90cab48', 'https://chat.openai.com/share/b515e3dc-6193-4550-8d5d-3ecaa8088755']","['https://chat.openai.com/share/7e23cfa9-7ae9-4d83-bf46-f4ee1f25465f', 'https://chat.openai.com/share/11673f92-3b12-4ed8-b637-66acc4005a43', 'https://chat.openai.com/share/33c6f549-4e9f-489f-8ea7-aa38fc697c2b', 'https://chat.openai.com/share/2c4b0dba-429c-4c33-8e21-07f2ff837f54', 'https://chat.openai.com/share/e24fcf2d-a14b-4198-83e8-2910e17c7cd9', 'https://chat.openai.com/share/b515e3dc-6193-4550-8d5d-3ecaa8088755', 'https://chat.openai.com/share/9fb7d601-2a86-4079-8cdc-3ecdf90cab48', 'https://chat.openai.com/share/8bd33825-e8c6-447f-b86e-5827453f3448']",8,"{'sql': 1, 'bash': 8, 'go': 8}",17,"{'sql': '5.882', 'bash': '47.059', 'go': '47.059'}"
jupyter notebook,2,"['rom-py/rompy', 'mlc-ai/web-stable-diffusion']","['rom-py/rompy', 'mlc-ai/web-stable-diffusion']",2,"['https://chat.openai.com/share/1d61a6e1-06ca-49dd-980f-b9d1d68dbaca', 'https://chat.openai.com/share/a3f23f8c-935e-4bad-97d0-1e6590df67d7']","['https://chat.openai.com/share/a3f23f8c-935e-4bad-97d0-1e6590df67d7', 'https://chat.openai.com/share/1d61a6e1-06ca-49dd-980f-b9d1d68dbaca']",2,{},0,{}
none,4,"['whatwg/whatwg.org', 'Maagan-Michael/mm-portal', 'IararIV/karaok.ai', 'RupertBenWiser/Web-Environment-Integrity']","['RupertBenWiser/Web-Environment-Integrity', 'whatwg/whatwg.org', 'Maagan-Michael/mm-portal', 'IararIV/karaok.ai']",4,"['https://chat.openai.com/share/7f5fafa5-25cd-4cfd-85e8-dea9a0772d2b', 'https://chat.openai.com/share/47acfe3b-be0d-4bc5-94df-d9a891805262', 'https://chat.openai.com/share/d0ce9b4e-2063-439f-a7ba-cb754b263026', 'https://chat.openai.com/share/c6b374a3-128d-46c8-bdaf-1a4917358133']","['https://chat.openai.com/share/47acfe3b-be0d-4bc5-94df-d9a891805262', 'https://chat.openai.com/share/d0ce9b4e-2063-439f-a7ba-cb754b263026', 'https://chat.openai.com/share/7f5fafa5-25cd-4cfd-85e8-dea9a0772d2b', 'https://chat.openai.com/share/c6b374a3-128d-46c8-bdaf-1a4917358133']",4,{'yaml': 2},2,{'yaml': '100.000'}
vue,3,"['ActivityWatch/aw-webui', 'esag-swiss/iDig-Webapp', 'radix-vue/radix-vue']","['esag-swiss/iDig-Webapp', 'ActivityWatch/aw-webui', 'radix-vue/radix-vue']",3,"['https://chat.openai.com/share/0c7588ee-b13b-41e3-b169-c1e587fcbb72', 'https://chat.openai.com/share/7bbcf2d4-1a64-46f2-97a3-103985367c1e', 'https://chat.openai.com/share/4b7f9351-620c-44b6-9501-1c6b9d0d3a23']","['https://chat.openai.com/share/0c7588ee-b13b-41e3-b169-c1e587fcbb72', 'https://chat.openai.com/share/7bbcf2d4-1a64-46f2-97a3-103985367c1e', 'https://chat.openai.com/share/4b7f9351-620c-44b6-9501-1c6b9d0d3a23']",3,"{'typescript': 3, 'javascript': 3, 'html': 1}",7,"{'typescript': '42.857', 'javascript': '42.857', 'html': '14.286'}"
php,1,['expresstechsoftware/product-questions-answers-for-woocommerce'],['expresstechsoftware/product-questions-answers-for-woocommerce'],1,['https://chat.openai.com/share/436ae660-af14-4c8c-9cfb-a5654d15a8be'],['https://chat.openai.com/share/436ae660-af14-4c8c-9cfb-a5654d15a8be'],1,{'php': 1},1,{'php': '100.000'}
kotlin,1,['xebia-functional/xef'],['xebia-functional/xef'],1,['https://chat.openai.com/share/d6e8d86f-8926-4f4a-960a-1daca260de53'],['https://chat.openai.com/share/d6e8d86f-8926-4f4a-960a-1daca260de53'],1,"{'yaml': 14, 'css': 1, 'txt': 16, 'xef': 7}",38,"{'yaml': '36.842', 'css': '2.632', 'txt': '42.105', 'xef': '18.421'}"
java,11,"['datastax/cassandra', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'open-learning-exchange/myplanet', 'millwheel/delivery-application']","['open-learning-exchange/myplanet', 'datastax/cassandra', 'millwheel/delivery-application']",3,"['https://chat.openai.com/share/29a25377-786f-4690-b146-12acb6acb75b', 'https://chat.openai.com/share/84e92c2b-5de7-432d-9aff-1a536bb90d46', 'https://chat.openai.com/share/f194daa6-1c52-4934-8b45-3907ab938954', 'https://chat.openai.com/share/be516fdf-e0e6-46eb-b2b9-21a35147cc06', 'https://chat.openai.com/share/c5376d3c-05c9-447e-9389-a267cb7b1648', 'https://chat.openai.com/share/d60827ae-37c6-4e8b-9a13-e45c3c21cd23', 'https://chat.openai.com/share/6d4c8c53-c8eb-42f3-92e0-72f6ba1b65ff', 'https://chat.openai.com/share/925833f9-2686-4e19-a441-12f6a84e2b06', 'https://chat.openai.com/share/f194daa6-1c52-4934-8b45-3907ab938954', 'https://chat.openai.com/share/be516fdf-e0e6-46eb-b2b9-21a35147cc06', 'https://chat.openai.com/share/c5376d3c-05c9-447e-9389-a267cb7b1648', 'https://chat.openai.com/share/147d7b5e-07d5-4107-9f5b-9040385efba3', 'https://chat.openai.com/share/d072619d-6c1e-4f43-9549-711713cf33d9', 'https://chat.openai.com/share/0437ab73-5f26-4a04-8536-626a73d56166', 'https://chat.openai.com/share/6082f396-63c9-4d32-ab92-dbb505aecbac', 'https://chat.openai.com/share/6d4c8c53-c8eb-42f3-92e0-72f6ba1b65ff', 'https://chat.openai.com/share/925833f9-2686-4e19-a441-12f6a84e2b06', 'https://chat.openai.com/share/562b3f00-7e7c-4a86-ba06-3f2602839353', 'https://chat.openai.com/share/0437ab73-5f26-4a04-8536-626a73d56166', 'https://chat.openai.com/share/d072619d-6c1e-4f43-9549-711713cf33d9', 'https://chat.openai.com/share/fe6258ed-93d6-446b-a39b-6b9c9d1ac0b1']","['https://chat.openai.com/share/c5376d3c-05c9-447e-9389-a267cb7b1648', 'https://chat.openai.com/share/562b3f00-7e7c-4a86-ba06-3f2602839353', 'https://chat.openai.com/share/d60827ae-37c6-4e8b-9a13-e45c3c21cd23', 'https://chat.openai.com/share/fe6258ed-93d6-446b-a39b-6b9c9d1ac0b1', 'https://chat.openai.com/share/6d4c8c53-c8eb-42f3-92e0-72f6ba1b65ff', 'https://chat.openai.com/share/925833f9-2686-4e19-a441-12f6a84e2b06', 'https://chat.openai.com/share/84e92c2b-5de7-432d-9aff-1a536bb90d46', 'https://chat.openai.com/share/d072619d-6c1e-4f43-9549-711713cf33d9', 'https://chat.openai.com/share/be516fdf-e0e6-46eb-b2b9-21a35147cc06', 'https://chat.openai.com/share/f194daa6-1c52-4934-8b45-3907ab938954', 'https://chat.openai.com/share/29a25377-786f-4690-b146-12acb6acb75b', 'https://chat.openai.com/share/147d7b5e-07d5-4107-9f5b-9040385efba3', 'https://chat.openai.com/share/0437ab73-5f26-4a04-8536-626a73d56166', 'https://chat.openai.com/share/6082f396-63c9-4d32-ab92-dbb505aecbac']",14,"{'xml': 60, 'python': 6, 'php': 2, 'none': 2, 'css': 2, 'java': 4}",76,"{'xml': '78.947', 'python': '7.895', 'php': '2.632', 'none': '2.632', 'css': '2.632', 'java': '5.263'}"
python,17,"['pwncollege/dojo', 'brennoflavio/nextcloud-alexa', 'metaphorsystems/metaphor-python', 'TechnoTOG/GetEntry', 'pyspark-ai/pyspark-ai', 'BenGriffith/cryptocurrency', 'alteryx/locust-grasshopper', 'comfyanonymous/ComfyUI', 'erobitschek/med-ml', 'bancaditalia/black-it', 'aiplanethub/genai-stack', 'Email-Generation/email_generation', 'aepaysinger/code-challenges', 'chitalian/gptask', 'bbelderbos/htmx-demo', 'aemartinez/gpt-latex-translator', 'nylas/nylas-python']","['aiplanethub/genai-stack', 'bbelderbos/htmx-demo', 'brennoflavio/nextcloud-alexa', 'metaphorsystems/metaphor-python', 'comfyanonymous/ComfyUI', 'pwncollege/dojo', 'TechnoTOG/GetEntry', 'bancaditalia/black-it', 'BenGriffith/cryptocurrency', 'aepaysinger/code-challenges', 'pyspark-ai/pyspark-ai', 'nylas/nylas-python', 'erobitschek/med-ml', 'Email-Generation/email_generation', 'aemartinez/gpt-latex-translator', 'alteryx/locust-grasshopper', 'chitalian/gptask']",17,"['https://chat.openai.com/share/10bdda73-2fbe-4a5b-bba2-2c383bb8115b', 'https://chat.openai.com/share/4c3df48f-27fe-493e-86ac-37124e975a13', 'https://chat.openai.com/share/3b3a60a3-b15b-4158-bd13-758efe26a1cb', 'https://chat.openai.com/share/b7072bfa-f783-46cc-a157-63f2662341b8', 'https://chat.openai.com/share/2bd66613-5dc1-427e-9277-fb45b317438a', 'https://chat.openai.com/share/f4b64624-21ed-47f1-a708-f82f21a5579c', 'https://chat.openai.com/share/1eaad094-b93d-4284-90a3-c1425f2d607c', 'https://chat.openai.com/share/f3d10693-c415-4a3c-8a22-62356c7a9bd7', 'https://chat.openai.com/share/da465ac3-4b5d-456b-95f9-3565b7b4cdb2', 'https://chat.openai.com/share/43b7067f-9a6c-47a5-b2a2-9bf64b0ebd8e', 'https://chat.openai.com/share/fcebe798-3d71-4149-8bf1-65e28d8254ac', 'https://chat.openai.com/share/c9e107c8-e424-4260-a85e-0bffcf334e2b', 'https://chat.openai.com/share/935b1b96-ff22-4bb9-bc0e-6839acc5739c', 'https://chat.openai.com/share/902cd378-3ebc-4e35-99ed-e63c7150c6ad', 'https://chat.openai.com/share/c8c101fa-aaae-4953-ac4f-f81b66d88783', 'https://chat.openai.com/share/88280b36-4942-4d5f-88de-d74fb058054b', 'https://chat.openai.com/share/ae752a56-932a-4d10-a2ee-e01b37252dc0', 'https://chat.openai.com/share/51f3aa63-d8aa-4ff7-aca1-608fcf9ab9ee']","['https://chat.openai.com/share/2bd66613-5dc1-427e-9277-fb45b317438a', 'https://chat.openai.com/share/b7072bfa-f783-46cc-a157-63f2662341b8', 'https://chat.openai.com/share/43b7067f-9a6c-47a5-b2a2-9bf64b0ebd8e', 'https://chat.openai.com/share/ae752a56-932a-4d10-a2ee-e01b37252dc0', 'https://chat.openai.com/share/c9e107c8-e424-4260-a85e-0bffcf334e2b', 'https://chat.openai.com/share/da465ac3-4b5d-456b-95f9-3565b7b4cdb2', 'https://chat.openai.com/share/935b1b96-ff22-4bb9-bc0e-6839acc5739c', 'https://chat.openai.com/share/902cd378-3ebc-4e35-99ed-e63c7150c6ad', 'https://chat.openai.com/share/fcebe798-3d71-4149-8bf1-65e28d8254ac', 'https://chat.openai.com/share/88280b36-4942-4d5f-88de-d74fb058054b', 'https://chat.openai.com/share/c8c101fa-aaae-4953-ac4f-f81b66d88783', 'https://chat.openai.com/share/51f3aa63-d8aa-4ff7-aca1-608fcf9ab9ee', 'https://chat.openai.com/share/10bdda73-2fbe-4a5b-bba2-2c383bb8115b', 'https://chat.openai.com/share/f4b64624-21ed-47f1-a708-f82f21a5579c', 'https://chat.openai.com/share/f3d10693-c415-4a3c-8a22-62356c7a9bd7', 'https://chat.openai.com/share/3b3a60a3-b15b-4158-bd13-758efe26a1cb', 'https://chat.openai.com/share/1eaad094-b93d-4284-90a3-c1425f2d607c', 'https://chat.openai.com/share/4c3df48f-27fe-493e-86ac-37124e975a13']",18,"{'python': 55, 'bash': 76, 'json': 22, 'none': 2, 'shell': 14, 'powershell': 1, 'makefile': 2, 'arduino': 7, 'rust': 1, 'css': 1, 'markdown': 4, 'dotenv': 3, 'sql': 3, 'yaml': 53, 'dockerfile': 30, 'nginx': 1, 'txt': 2, 'lua': 3, 'less': 1, 'javascript': 5}",286,"{'python': '19.231', 'bash': '26.573', 'json': '7.692', 'none': '0.699', 'shell': '4.895', 'powershell': '0.350', 'makefile': '0.699', 'arduino': '2.448', 'rust': '0.350', 'css': '0.350', 'markdown': '1.399', 'dotenv': '1.049', 'sql': '1.049', 'yaml': '18.531', 'dockerfile': '10.490', 'nginx': '0.350', 'txt': '0.699', 'lua': '1.049', 'less': '0.350', 'javascript': '1.748'}"
