,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
linguagem,javascript,typescript,go,jupyter notebook,none,vue,php,kotlin,java,python,dart,c++,solidity,lisp,rust,shell,html,f#,mdx,powershell,csharp
javascript,6.0,18.0,0,0,0,3.0,0,0,0,5.0,0,110.0,0,0,0,2.0,1.0,1.0,0,0,0
liquid,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vbnet,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
json,8.0,1.0,0,0,0,0,0,0,0,22.0,0,16.0,0,0,0,0,0,0,0,0,0
xml,3.0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0
python,1.0,0,0,0,0,0,0,0,6.0,55.0,0,50.0,0,0,0,0,0,1.0,0,0,0
arduino,2.0,0,0,0,0,0,0,0,0,7.0,0,5.0,0,0,0,0,0,0,0,0,0
bash,12.0,2.0,8.0,0,0,0,0,0,0,76.0,4.0,48.0,0,0,0,27.0,0,0,5.0,0,0
typescript,0,13.0,0,0,0,3.0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0
markdown,0,1.0,0,0,0,0,0,0,0,4.0,0,5.0,0,0,0,0,0,0,0,0,0
html,0,1.0,0,0,0,1.0,0,0,0,0,0,20.0,0,0,0,0,1.0,0,0,0,0
sql,0,0,1.0,0,0,0,0,0,0,3.0,0,8.0,0,0,0,0,0,0,0,0,0
go,0,0,8.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,1.0,0,0,0
yaml,0,0,0,0,2.0,0,0,14.0,0,53.0,12.0,9.0,0,0,0,1.0,0,0,0,0,0
php,0,0,0,0,0,0,1.0,0,2.0,0,0,19.0,0,0,0,0,0,1.0,0,0,0
css,0,0,0,0,0,0,0,1.0,2.0,1.0,0,7.0,0,0,0,0,1.0,0,0,0,0
txt,0,0,0,0,0,0,0,16.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
xef,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,0,0,0,0,0,0,0,0,2.0,2.0,0,9.0,0,0,0,0,1.0,0,1.0,0,0
java,0,0,0,0,0,0,0,0,4.0,0,0,15.0,0,0,0,0,0,1.0,0,0,0
shell,0,0,0,0,0,0,0,0,0,14.0,0,1.0,0,0,0,0,0,0,0,0,0
powershell,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,4.0,0
makefile,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
rust,0,0,0,0,0,0,0,0,0,1.0,0,6.0,0,0,0,0,0,0,0,0,0
dotenv,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
dockerfile,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0
nginx,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
lua,0,0,0,0,0,0,0,0,0,3.0,0,1.0,0,0,0,0,0,0,0,0,0
less,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
dart,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
ruby,0,0,0,0,0,0,0,0,0,0,1.0,5.0,0,0,0,0,0,1.0,0,0,0
c++,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0
cmd,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0
toml,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
csharp,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,3.0,0,0,0
hcl,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0
regex,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
mathematica,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
elixir,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
npm,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
kotlin,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
perl,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
solidity,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
lisp,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
vue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
