,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
linguagem,javascript,typescript,go,jupyter notebook,none,vue,php,kotlin,java,python,dart,c++,solidity,lisp,rust,shell,html,f#,mdx,powershell,csharp
javascript,13.636,50.000,0,0,0,42.857,0,0,0,1.748,0,28.133,0,0,0,6.667,25.000,11.111,0,0,0
liquid,25.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vbnet,2.273,0,0,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,0
json,18.182,2.778,0,0,0,0,0,0,0,7.692,0,4.092,0,0,0,0,0,0,0,0,0
xml,6.818,0,0,0,0,0,0,0,78.947,0,0,0,0,0,0,0,0,0,0,0,0
python,2.273,0,0,0,0,0,0,0,7.895,19.231,0,12.788,0,0,0,0,0,11.111,0,0,0
arduino,4.545,0,0,0,0,0,0,0,0,2.448,0,1.279,0,0,0,0,0,0,0,0,0
bash,27.273,5.556,47.059,0,0,0,0,0,0,26.573,21.053,12.276,0,0,0,90.000,0,0,83.333,0,0
typescript,0,36.111,0,0,0,42.857,0,0,0,0,0,4.859,0,0,0,0,0,0,0,0,0
markdown,0,2.778,0,0,0,0,0,0,0,1.399,0,1.279,0,0,0,0,0,0,0,0,0
html,0,2.778,0,0,0,14.286,0,0,0,0,0,5.115,0,0,0,0,25.000,0,0,0,0
sql,0,0,5.882,0,0,0,0,0,0,1.049,0,2.046,0,0,0,0,0,0,0,0,0
go,0,0,47.059,0,0,0,0,0,0,0,0,1.535,0,0,0,0,0,11.111,0,0,0
yaml,0,0,0,0,100.000,0,0,36.842,0,18.531,63.158,2.302,0,0,0,3.333,0,0,0,0,0
php,0,0,0,0,0,0,100.000,0,2.632,0,0,4.859,0,0,0,0,0,11.111,0,0,0
css,0,0,0,0,0,0,0,2.632,2.632,0.350,0,1.790,0,0,0,0,25.000,0,0,0,0
txt,0,0,0,0,0,0,0,42.105,0,0.699,0,0,0,0,0,0,0,0,0,0,0
xef,0,0,0,0,0,0,0,18.421,0,0,0,0,0,0,0,0,0,0,0,0,0
none,0,0,0,0,0,0,0,0,2.632,0.699,0,2.302,0,0,0,0,25.000,0,16.667,0,0
java,0,0,0,0,0,0,0,0,5.263,0,0,3.836,0,0,0,0,0,11.111,0,0,0
shell,0,0,0,0,0,0,0,0,0,4.895,0,0.256,0,0,0,0,0,0,0,0,0
powershell,0,0,0,0,0,0,0,0,0,0.350,0,0,0,0,0,0,0,0,0,100.000,0
makefile,0,0,0,0,0,0,0,0,0,0.699,0,0,0,0,0,0,0,0,0,0,0
rust,0,0,0,0,0,0,0,0,0,0.350,0,1.535,0,0,0,0,0,0,0,0,0
dotenv,0,0,0,0,0,0,0,0,0,1.049,0,0,0,0,0,0,0,0,0,0,0
dockerfile,0,0,0,0,0,0,0,0,0,10.490,0,0,0,0,0,0,0,0,0,0,0
nginx,0,0,0,0,0,0,0,0,0,0.350,0,0,0,0,0,0,0,0,0,0,0
lua,0,0,0,0,0,0,0,0,0,1.049,0,0.256,0,0,0,0,0,0,0,0,0
less,0,0,0,0,0,0,0,0,0,0.350,0,0,0,0,0,0,0,0,0,0,0
dart,0,0,0,0,0,0,0,0,0,0,10.526,0,0,0,0,0,0,0,0,0,0
ruby,0,0,0,0,0,0,0,0,0,0,5.263,1.279,0,0,0,0,0,11.111,0,0,0
c++,0,0,0,0,0,0,0,0,0,0,0,1.790,0,0,0,0,0,0,0,0,0
cmd,0,0,0,0,0,0,0,0,0,0,0,1.023,0,0,0,0,0,0,0,0,0
toml,0,0,0,0,0,0,0,0,0,0,0,0.512,0,0,0,0,0,0,0,0,0
csharp,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,33.333,0,0,0
hcl,0,0,0,0,0,0,0,0,0,0,0,1.535,0,0,0,0,0,0,0,0,0
regex,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0
mathematica,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0
elixir,0,0,0,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,0
npm,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0
kotlin,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0
perl,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0
solidity,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0,0,0,0,0,0,0
lisp,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000,0,0,0,0,0,0,0
vue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000
